us,flow,size
1746368430854757,1,1024
1746368430859388,1,1024
1746368430864001,1,1024
1746368430868573,1,1024
1746368430873187,1,1024
1746368430877783,1,1024
1746368430882435,1,1024
1746368430887058,1,1024
1746368430891686,1,1024
1746368430896267,1,1024
1746368430900874,1,1024
1746368430905482,1,1024
1746368430910069,1,1024
1746368430914689,1,1024
1746368430918698,1,1024
1746368430923299,1,1024
1746368430927922,1,1024
1746368430932534,1,1024
1746368430937167,1,1024
1746368430941810,1,1024
1746368430946435,1,1024
1746368430950969,1,1024
1746368430955611,1,1024
1746368430960102,1,1024
1746368430965253,1,1024
1746368430969862,1,1024
1746368430974473,1,1024
1746368430978805,1,1024
1746368430983430,1,1024
1746368430988058,1,1024
1746368430992678,1,1024
1746368430997333,1,1024
1746368431001978,1,1024
1746368431006581,1,1024
1746368431011193,1,1024
1746368431015392,1,1024
1746368431019988,1,1024
1746368431025228,1,1024
1746368431029860,1,1024
1746368431034445,1,1024
1746368431038673,1,1024
1746368431043293,1,1024
1746368431047904,1,1024
1746368431052489,1,1024
1746368431057746,1,1024
1746368431062346,1,1024
1746368431066949,1,1024
1746368431071560,1,1024
1746368431076163,1,1024
1746368431080773,1,1024
1746368431085379,1,1024
1746368431089984,1,1024
1746368431094561,1,1024
1746368431099162,1,1024
1746368431103770,1,1024
1746368431108434,1,1024
1746368431112367,1,1024
1746368431116971,1,1024
1746368431121569,1,1024
1746368431126182,1,1024
1746368431130819,1,1024
1746368431135409,1,1024
1746368431139963,1,1024
1746368431144521,1,1024
1746368431149108,1,1024
1746368431153729,1,1024
1746368431158365,1,1024
1746368431162928,1,1024
1746368431167543,1,1024
1746368431172145,1,1024
1746368431176727,1,1024
1746368431181352,1,1024
1746368431185997,1,1024
1746368431190603,1,1024
1746368431195211,1,1024
1746368431199823,1,1024
1746368431204134,1,1024
1746368431208722,1,1024
1746368431212705,1,1024
1746368431217321,1,1024
1746368431221917,1,1024
1746368431226214,1,1024
1746368431230835,1,1024
1746368431235442,1,1024
1746368431240049,1,1024
1746368431244637,1,1024
1746368431249244,1,1024
1746368431253502,1,1024
1746368431258142,1,1024
1746368431262787,1,1024
1746368431267123,1,1024
1746368431271734,1,1024
1746368431276343,1,1024
1746368431280971,1,1024
1746368431285596,1,1024
1746368431290186,1,1024
1746368431294816,1,1024
1746368431299450,1,1024
1746368431304084,1,1024
1746368431308699,1,1024
1746368431313338,1,1024
1746368431317958,1,1024
1746368431322579,1,1024
1746368431327206,1,1024
1746368431331812,1,1024
1746368431336431,1,1024
1746368431341046,1,1024
1746368431345660,1,1024
1746368431350278,1,1024
1746368431354895,1,1024
1746368431359518,1,1024
1746368431364129,1,1024
1746368431368762,1,1024
1746368431372832,1,1024
1746368431377654,1,1024
1746368431382269,1,1024
1746368431386879,1,1024
1746368431391493,1,1024
1746368431396099,1,1024
1746368431400727,1,1024
1746368431405313,1,1024
1746368431409925,1,1024
1746368431414510,1,1024
1746368431419120,1,1024
1746368431423721,1,1024
1746368431428339,1,1024
1746368431432959,1,1024
1746368431437614,1,1024
1746368431442184,1,1024
1746368431446794,1,1024
1746368431451418,1,1024
1746368431456058,1,1024
1746368431460645,1,1024
1746368431465257,1,1024
1746368431469874,1,1024
1746368431474192,1,1024
1746368431478810,1,1024
1746368431483314,1,1024
1746368431487947,1,1024
1746368431492577,1,1024
1746368431497191,1,1024
1746368431501821,1,1024
1746368431506457,1,1024
1746368431511088,1,1024
1746368431515381,1,1024
1746368431520022,1,1024
1746368431524658,1,1024
1746368431529284,1,1024
1746368431533901,1,1024
1746368431538504,1,1024
1746368431543158,1,1024
1746368431547725,1,1024
1746368431552344,1,1024
1746368431557011,1,1024
1746368431561615,1,1024
1746368431566223,1,1024
1746368431570818,1,1024
1746368431575433,1,1024
1746368431580039,1,1024
1746368431584629,1,1024
1746368431589238,1,1024
1746368431594465,1,1024
1746368431599113,1,1024
1746368431603532,1,1024
1746368431608192,1,1024
1746368431612781,1,1024
1746368431617362,1,1024
1746368431621778,1,1024
1746368431626380,1,1024
1746368431630959,1,1024
1746368431635513,1,1024
1746368431638898,2,512
1746368431639946,1,1024
1746368431642010,2,512
1746368431643049,2,512
1746368431644741,1,1024
1746368431646825,2,512
1746368431647846,2,512
1746368431649582,1,1024
1746368431651637,2,512
1746368431652689,2,512
1746368431653724,1,1024
1746368431655815,2,512
1746368431657465,2,512
1746368431658509,1,1024
1746368431660589,2,512
1746368431662248,2,512
1746368431663299,1,1024
1746368431665369,2,512
1746368431667023,2,512
1746368431668080,1,1024
1746368431670146,2,512
1746368431671824,2,512
1746368431672870,1,1024
1746368431674960,2,512
1746368431676655,1,1024
1746368431678710,2,512
1746368431679766,2,512
1746368431681507,1,1024
1746368431683250,2,512
1746368431684308,2,512
1746368431685345,1,1024
1746368431687451,2,512
1746368431688519,2,512
1746368431690207,1,1024
1746368431692317,2,512
1746368431693346,2,512
1746368431695040,1,1024
1746368431697100,2,512
1746368431698171,2,512
1746368431699266,1,1024
1746368431701347,2,512
1746368431702425,2,512
1746368431703993,1,1024
1746368431706028,2,512
1746368431707104,2,512
1746368431708777,1,1024
1746368431710861,2,512
1746368431711928,2,512
1746368431713592,1,1024
1746368431715674,2,512
1746368431716707,2,512
1746368431717754,1,1024
1746368431719833,2,512
1746368431720853,2,512
1746368431722553,1,1024
1746368431724613,2,512
1746368431725656,2,512
1746368431727351,1,1024
1746368431729198,2,512
1746368431730235,2,512
1746368431731280,1,1024
1746368431733344,2,512
1746368431735047,2,512
1746368431736091,1,1024
1746368431738161,2,512
1746368431739865,2,512
1746368431740912,1,1024
1746368431742985,2,512
1746368431744664,1,1024
1746368431746471,2,512
1746368431747565,2,512
1746368431749232,1,1024
1746368431751304,2,512
1746368431752385,2,512
1746368431754032,1,1024
1746368431756096,2,512
1746368431757166,2,512
1746368431758199,1,1024
1746368431760320,2,512
1746368431761378,2,512
1746368431763041,1,1024
1746368431765117,2,512
1746368431766197,2,512
1746368431767238,1,1024
1746368431769328,2,512
1746368431770365,2,512
1746368431772465,1,1024
1746368431774184,2,512
1746368431775229,2,512
1746368431776916,1,1024
1746368431778975,2,512
1746368431780017,2,512
1746368431781697,1,1024
1746368431783770,2,512
1746368431784807,2,512
1746368431786363,1,1024
1746368431788428,2,512
1746368431789477,2,512
1746368431790505,1,1024
1746368431792585,2,512
1746368431794278,2,512
1746368431795326,1,1024
1746368431797302,2,512
1746368431798995,2,512
1746368431800078,1,1024
1746368431801951,2,512
1746368431803629,2,512
1746368431804673,1,1024
1746368431806753,2,512
1746368431808455,2,512
1746368431809498,1,1024
1746368431811617,2,512
1746368431813243,2,512
1746368431814286,1,1024
1746368431816354,2,512
1746368431818038,2,512
1746368431819098,1,1024
1746368431821177,2,512
1746368431822200,2,512
1746368431823238,1,1024
1746368431825318,2,512
1746368431827004,2,512
1746368431828071,1,1024
1746368431830128,2,512
1746368431831817,2,512
1746368431832880,1,1024
1746368431834958,2,512
1746368431836634,2,512
1746368431837683,1,1024
1746368431839786,2,512
1746368431841467,1,1024
1746368431843520,2,512
1746368431844560,2,512
1746368431846244,1,1024
1746368431848364,2,512
1746368431849420,2,512
1746368431851098,1,1024
1746368431853160,2,512
1746368431854232,2,512
1746368431855269,1,1024
1746368431857381,2,512
1746368431858419,2,512
1746368431860130,1,1024
1746368431862191,2,512
1746368431863226,2,512
1746368431864282,1,1024
1746368431866092,2,512
1746368431867761,2,512
1746368431868814,1,1024
1746368431870813,2,512
1746368431872520,2,512
1746368431873565,1,1024
1746368431875415,2,512
1746368431877089,2,512
1746368431878133,1,1024
1746368431880214,2,512
1746368431881886,2,512
1746368431882925,1,1024
1746368431885006,2,512
1746368431886667,2,512
1746368431887730,1,1024
1746368431889802,2,512
1746368431891488,1,1024
1746368431893540,2,512
1746368431894583,2,512
1746368431896256,1,1024
1746368431898089,2,512
1746368431899141,2,512
1746368431900812,1,1024
1746368431902651,2,512
1746368431903664,2,512
1746368431905328,1,1024
1746368431907400,2,512
1746368431908464,2,512
1746368431909499,1,1024
1746368431911611,2,512
1746368431912671,2,512
1746368431914357,1,1024
1746368431916435,2,512
1746368431917539,2,512
1746368431918582,1,1024
1746368431920647,2,512
1746368431921682,2,512
1746368431922718,1,1024
1746368431924861,2,512
1746368431926495,2,512
1746368431927536,1,1024
1746368431929636,2,512
1746368431931276,2,512
1746368431932189,1,1024
1746368431934277,2,512
1746368431935957,2,512
1746368431936998,1,1024
1746368431939078,2,512
1746368431940770,2,512
1746368431941813,1,1024
1746368431943514,2,512
1746368431945206,2,512
1746368431946259,1,1024
1746368431948324,2,512
1746368431950010,2,512
1746368431951034,1,1024
1746368431952730,2,512
1746368431955053,1,1024
1746368431956927,2,512
1746368431957933,2,512
1746368431959642,1,1024
1746368431961717,2,512
1746368431962789,2,512
1746368431963829,1,1024
1746368431965989,2,512
1746368431967037,2,512
1746368431968699,1,1024
1746368431970578,2,512
1746368431971624,2,512
1746368431973311,1,1024
1746368431975414,2,512
1746368431976517,2,512
1746368431978119,1,1024
1746368431980004,2,512
1746368431981076,2,512
1746368431982757,1,1024
1746368431984719,2,512
1746368431985767,2,512
