us,flow,size
1746361371475223,2,512
1746361371475640,1,1024
1746361371476087,2,512
1746361371476281,1,1024
1746361371476545,2,512
1746361371476706,1,1024
1746361371476873,2,512
1746361371477046,1,1024
1746361371477227,2,512
1746361371477344,1,1024
1746361371477435,2,512
1746361371477520,1,1024
1746361371477601,2,512
1746361371477708,1,1024
1746361371477820,2,512
1746361371477916,1,1024
1746361371478000,2,512
1746361371478126,1,1024
1746361371478276,2,512
1746361371478394,1,1024
1746361371478611,2,512
1746361371478778,1,1024
1746361371478952,2,512
1746361371479093,1,1024
1746361371479182,2,512
1746361371479258,1,1024
1746361371479385,2,512
1746361371479514,1,1024
1746361371479596,2,512
1746361371479674,1,1024
1746361371479749,2,512
1746361371479819,1,1024
1746361371479910,2,512
1746361371479996,1,1024
1746361371480073,2,512
1746361371480173,1,1024
1746361371480256,2,512
1746361371480337,1,1024
1746361371480410,2,512
1746361371480484,1,1024
1746361371480556,2,512
1746361371480627,1,1024
1746361371480698,2,512
1746361371480767,1,1024
1746361371480836,2,512
1746361371480903,1,1024
1746361371480973,2,512
1746361371481039,1,1024
1746361371481180,2,512
1746361371481282,1,1024
1746361371481377,2,512
1746361371481445,1,1024
1746361371481513,2,512
1746361371481583,1,1024
1746361371481656,2,512
1746361371481747,1,1024
1746361371482092,2,512
1746361371482215,1,1024
1746361371482538,2,512
1746361371482741,2,512
1746361371482823,2,512
1746361371482895,2,512
1746361371482969,2,512
1746361371483040,2,512
1746361371483110,2,512
1746361371483180,2,512
1746361371483250,2,512
1746361371483320,2,512
1746361371483389,2,512
1746361371483460,2,512
1746361371483528,2,512
1746361371483599,2,512
1746361371483670,2,512
1746361371483741,2,512
1746361371483811,2,512
1746361371483881,2,512
1746361371483951,2,512
1746361371484020,2,512
1746361371484090,2,512
1746361371484162,2,512
1746361371484231,2,512
1746361371484300,2,512
1746361371484416,2,512
1746361371998935,2,512
1746361371999589,1,1024
1746361371999989,2,512
1746361372000407,1,1024
1746361372000679,2,512
1746361372000855,1,1024
1746361372000992,2,512
1746361372001125,1,1024
1746361372001243,2,512
1746361372001351,1,1024
1746361372001460,2,512
1746361372001569,1,1024
1746361372001680,2,512
1746361372001787,1,1024
1746361372001933,2,512
1746361372002132,1,1024
1746361372002303,2,512
1746361372002496,3,1024
1746361372002808,1,1024
1746361372003233,2,512
1746361372003629,3,1024
1746361372003917,1,1024
1746361372004218,2,512
1746361372004522,3,1024
1746361372004760,1,1024
1746361372005014,2,512
1746361372005232,3,1024
1746361372005427,1,1024
1746361372005554,2,512
1746361372005656,3,1024
1746361372005762,1,1024
1746361372005878,2,512
1746361372006031,3,1024
1746361372006181,1,1024
1746361372006283,2,512
1746361372006368,3,1024
1746361372006452,1,1024
1746361372006533,2,512
1746361372006621,3,1024
1746361372006704,1,1024
1746361372006791,2,512
1746361372006893,3,1024
1746361372007005,1,1024
1746361372007126,2,512
1746361372007265,3,1024
1746361372007379,1,1024
