us,flow,size,rtt_us
1746368430676401,1,1024,0
1746368430681003,1,1024,0
1746368430685415,1,1024,0
1746368430690094,1,1024,0
1746368430694740,1,1024,0
1746368430699366,1,1024,0
1746368430703996,1,1024,0
1746368430708621,1,1024,0
1746368430712940,1,1024,0
1746368430717403,1,1024,0
1746368430721568,1,1024,0
1746368430725817,1,1024,0
1746368430730550,1,1024,0
1746368430734775,1,1024,0
1746368430739375,1,1024,0
1746368430743947,1,1024,0
1746368430748564,1,1024,0
1746368430753306,1,1024,0
1746368430757969,1,1024,0
1746368430762610,1,1024,0
1746368430767238,1,1024,0
1746368430771918,1,1024,0
1746368430776135,1,1024,0
1746368430780763,1,1024,0
1746368430785401,1,1024,0
1746368430790022,1,1024,0
1746368430794681,1,1024,0
1746368430799317,1,1024,0
1746368430803957,1,1024,0
1746368430808207,1,1024,0
1746368430813141,1,1024,0
1746368430817829,1,1024,0
1746368430822469,1,1024,0
1746368430827096,1,1024,0
1746368430831277,1,1024,0
1746368430835939,1,1024,0
1746368430840585,1,1024,0
1746368430845232,1,1024,0
1746368430849862,1,1024,0
1746368430854489,1,1024,0
1746368430859129,1,1024,0
1746368430863741,1,1024,0
1746368430868363,1,1024,0
1746368430872900,1,1024,0
1746368430877533,1,1024,0
1746368430882161,1,1024,0
1746368430886792,1,1024,0
1746368430890990,1,1024,0
1746368430895635,1,1024,0
1746368430900261,1,1024,0
1746368430904895,1,1024,0
1746368430909513,1,1024,0
1746368430914117,1,1024,0
1746368430918290,1,1024,0
1746368430922962,1,1024,0
1746368430927598,1,1024,0
1746368430932218,1,1024,0
1746368430936866,1,1024,0
1746368430941501,1,1024,0
1746368430946135,1,1024,0
1746368430950754,1,1024,0
1746368430955299,1,1024,0
1746368430959937,1,1024,0
1746368430964565,1,1024,0
1746368430969218,1,1024,0
1746368430973863,1,1024,0
1746368430978503,1,1024,0
1746368430983135,1,1024,0
1746368430987773,1,1024,0
1746368430991963,1,1024,0
1746368430996607,1,1024,0
1746368431001274,1,1024,0
1746368431005910,1,1024,0
1746368431010522,1,1024,0
1746368431015145,1,1024,0
1746368431019775,1,1024,0
1746368431024460,1,1024,0
1746368431029134,1,1024,0
1746368431033773,1,1024,0
1746368431038382,1,1024,0
1746368431043013,1,1024,0
1746368431047682,1,1024,0
1746368431052329,1,1024,0
1746368431056948,1,1024,0
1746368431061592,1,1024,0
1746368431066252,1,1024,0
1746368431070927,1,1024,0
1746368431075548,1,1024,0
1746368431080165,1,1024,0
1746368431084784,1,1024,0
1746368431089404,1,1024,0
1746368431094012,1,1024,0
1746368431098488,1,1024,0
1746368431103134,1,1024,0
1746368431107771,1,1024,0
1746368431112122,1,1024,0
1746368431116703,1,1024,0
1746368431121336,1,1024,0
1746368431125882,1,1024,0
1746368431130286,1,1024,0
1746368431134909,1,1024,0
1746368431139540,1,1024,0
1746368431144173,1,1024,0
1746368431148646,1,1024,0
1746368431153304,1,1024,0
1746368431157660,1,1024,0
1746368431162283,1,1024,0
1746368431166929,1,1024,0
1746368431171565,1,1024,0
1746368431176060,1,1024,0
1746368431180683,1,1024,0
1746368431185319,1,1024,0
1746368431189970,1,1024,0
1746368431194578,1,1024,0
1746368431199198,1,1024,0
1746368431203451,1,1024,0
1746368431208073,1,1024,0
1746368431212300,1,1024,0
1746368431216920,1,1024,0
1746368431221292,1,1024,0
1746368431225919,1,1024,0
1746368431230540,1,1024,0
1746368431235165,1,1024,0
1746368431239374,1,1024,0
1746368431244007,1,1024,0
1746368431248647,1,1024,0
1746368431253270,1,1024,0
1746368431257848,1,1024,0
1746368431262105,1,1024,0
1746368431266444,1,1024,0
1746368431271084,1,1024,0
1746368431275721,1,1024,0
1746368431280344,1,1024,0
1746368431284896,1,1024,0
1746368431289640,1,1024,0
1746368431294134,1,1024,0
1746368431298808,1,1024,0
1746368431303453,1,1024,0
1746368431308091,1,1024,0
1746368431312738,1,1024,0
1746368431317381,1,1024,0
1746368431322085,1,1024,0
1746368431326522,1,1024,0
1746368431331309,1,1024,0
1746368431335970,1,1024,0
1746368431340643,1,1024,0
1746368431345288,1,1024,0
1746368431349923,1,1024,0
1746368431354211,1,1024,0
1746368431358867,1,1024,0
1746368431363521,1,1024,0
1746368431368146,1,1024,0
1746368431372566,1,1024,0
1746368431377289,1,1024,0
1746368431381931,1,1024,0
1746368431386576,1,1024,0
1746368431391219,1,1024,0
1746368431395429,1,1024,0
1746368431400182,1,1024,0
1746368431404821,1,1024,0
1746368431409450,1,1024,0
1746368431414069,1,1024,0
1746368431418437,1,1024,0
1746368431423077,1,1024,0
1746368431427724,1,1024,0
1746368431432404,1,1024,0
1746368431437057,1,1024,0
1746368431441513,1,1024,0
1746368431446201,1,1024,0
1746368431450868,1,1024,0
1746368431455343,1,1024,0
1746368431459975,1,1024,0
1746368431464612,1,1024,0
1746368431469267,1,1024,0
1746368431473879,1,1024,0
1746368431478140,1,1024,0
1746368431482650,1,1024,0
1746368431487356,1,1024,0
1746368431491994,1,1024,0
1746368431496640,1,1024,0
1746368431501136,1,1024,0
1746368431505783,1,1024,0
1746368431510418,1,1024,0
1746368431514710,1,1024,0
1746368431519375,1,1024,0
1746368431524024,1,1024,0
1746368431528716,1,1024,0
1746368431533349,1,1024,0
1746368431537982,1,1024,0
1746368431542642,1,1024,0
1746368431547301,1,1024,0
1746368431551957,1,1024,0
1746368431556629,1,1024,0
1746368431561292,1,1024,0
1746368431565920,1,1024,0
1746368431570562,1,1024,0
1746368431575215,1,1024,0
1746368431579744,1,1024,0
1746368431584384,1,1024,0
1746368431589055,1,1024,0
1746368431593718,1,1024,0
1746368431598378,1,1024,0
1746368431602863,1,1024,0
1746368431607493,1,1024,0
1746368431612119,1,1024,0
1746368431616787,1,1024,0
1746368431621488,1,1024,0
1746368431626087,1,1024,0
