timestamp,flow_id,packet_size,sequence_number,delay_ms
1749003494.866158,2,512,242,1.38
1749003494.8673348,2,512,243,0.75
1749003494.889154,2,512,244,1.64
1749003494.889351,2,512,245,1.65
1749003494.909735,2,512,246,0.62
1749003494.909873,2,512,247,0.58
1749003494.929207,2,512,248,1.02
1749003494.930387,2,512,249,0.81
1749003494.9541461,2,512,250,1.49
1749003494.9541912,2,512,251,1.46
1749003494.975271,2,512,252,1.38
1749003494.975328,2,512,253,1.31
1749003494.998401,2,512,254,1.51
1749003494.9984992,2,512,255,1.52
1749003495.019243,2,512,256,0.89
1749003495.020596,2,512,257,2.08
1749003495.042303,2,512,258,1.49
1749003495.042356,2,512,259,1.47
1749003495.0623329,2,512,260,1.42
1749003495.0623639,2,512,261,1.39
1749003495.0835788,2,512,262,1.44
1749003495.083607,2,512,263,1.43
1749003495.106208,2,512,264,0.50
1749003495.1062331,2,512,265,0.50
1749003495.124971,2,512,266,1.16
1749003495.1274428,2,512,267,1.22
1749003495.148788,2,512,268,1.36
1749003495.1488152,2,512,269,1.34
1749003495.167788,2,512,270,1.39
1749003495.1690261,2,512,271,1.26
1749003495.191533,2,512,272,1.42
1749003495.191568,2,512,273,1.41
1749003495.2103329,2,512,274,1.37
1749003495.211568,2,512,275,1.11
1749003495.230527,2,512,276,1.38
1749003495.2317739,2,512,277,0.97
1749003495.250721,2,512,278,1.38
1749003495.25197,2,512,279,0.79
1749003495.274836,2,512,280,1.03
1749003495.274961,2,512,281,1.04
1749003495.296319,2,512,282,0.80
1749003495.29636,2,512,283,0.77
1749003495.319167,2,512,284,0.58
1749003495.319201,2,512,285,0.55
1749003495.34075,2,512,286,0.90
1749003495.3407822,2,512,287,0.87
1749003495.3648,2,512,288,1.44
1749003495.364835,2,512,289,1.42
1749003495.381227,2,512,290,0.19
1749003495.385143,2,512,291,1.45
1749003495.406622,2,512,292,1.19
1749003495.4066482,2,512,293,1.18
1749003495.428103,2,512,294,1.37
1749003495.428129,2,512,295,1.35
1749003495.448041,2,512,296,1.24
