timestamp,flow_id,packet_size,sequence_number,delay_ms
1749003514.681962,2,512,0,1.22
1749003514.681998,2,512,1,1.17
1749003514.682026,2,512,2,1.19
1749003514.6820369,2,512,3,1.19
1749003514.682049,2,512,4,1.20
1749003514.68206,2,512,5,1.20
1749003514.682069,2,512,6,1.20
1749003514.6820989,2,512,7,1.22
1749003514.682115,2,512,8,1.23
1749003514.682127,2,512,9,1.24
1749003514.6821382,2,512,10,1.24
1749003514.682147,2,512,11,1.25
1749003514.6821718,2,512,12,1.26
1749003514.682184,2,512,13,1.27
1749003514.682273,2,512,14,1.35
1749003514.682285,2,512,15,1.36
1749003514.682313,2,512,16,1.38
1749003514.682323,2,512,17,1.38
1749003514.6823318,2,512,18,1.39
1749003514.682341,2,512,19,1.39
1749003514.682366,2,512,20,1.41
1749003514.682391,2,512,21,1.43
1749003514.682403,2,512,22,1.43
1749003514.6824121,2,512,23,1.44
1749003514.682438,2,512,24,1.46
1749003514.6824498,2,512,25,1.46
1749003514.6824892,2,512,26,1.50
1749003514.6825018,2,512,27,1.50
1749003514.682513,2,512,28,1.51
1749003514.6825228,2,512,29,1.51
1749003514.68255,2,512,30,1.53
1749003514.682562,2,512,31,1.54
1749003514.682591,2,512,32,1.56
1749003514.682601,2,512,33,1.57
1749003514.68261,2,512,34,1.57
1749003514.6826181,2,512,35,1.57
1749003514.682645,2,512,36,1.59
1749003514.682657,2,512,37,1.60
1749003514.6826959,2,512,38,1.63
1749003514.682708,2,512,39,1.64
1749003514.682716,2,512,40,1.64
1749003514.682741,2,512,41,1.66
1749003514.682752,2,512,42,1.66
1749003514.6827588,2,512,43,1.66
1749003514.6827788,2,512,44,1.68
1749003514.682789,2,512,45,1.68
1749003514.682797,2,512,46,1.68
1749003514.6828191,2,512,47,1.70
1749003514.68283,2,512,48,1.71
1749003514.682837,2,512,49,1.71
1749003514.682862,2,512,50,1.73
1749003514.682873,2,512,51,1.73
1749003514.68288,2,512,52,1.74
1749003514.682901,2,512,53,1.75
1749003514.682912,2,512,54,1.76
1749003514.68292,2,512,55,1.76
1749003514.682941,2,512,56,1.77
1749003514.682952,2,512,57,1.78
1749003514.682959,2,512,58,1.78
1749003514.682982,2,512,59,1.80
1749003514.682993,2,512,60,1.80
1749003514.683,2,512,61,1.81
1749003514.68302,2,512,62,1.82
1749003514.683031,2,512,63,1.82
1749003514.683039,2,512,64,1.83
1749003514.683061,2,512,65,1.84
1749003514.683072,2,512,66,1.85
1749003514.683079,2,512,67,1.85
1749003514.6831,2,512,68,1.87
1749003514.68311,2,512,69,1.87
1749003514.683118,2,512,70,1.87
1749003514.683143,2,512,71,1.89
1749003514.6831539,2,512,72,1.90
1749003514.683161,2,512,73,1.90
1749003514.683168,2,512,74,1.90
1749003514.6831932,2,512,75,1.92
1749003514.683203,2,512,76,1.92
1749003514.68321,2,512,77,1.92
1749003514.6832309,2,512,78,1.94
1749003514.683241,2,512,79,1.94
1749003514.683249,2,512,80,1.95
1749003514.683271,2,512,81,1.96
1749003514.683282,2,512,82,1.97
1749003514.683289,2,512,83,1.97
1749003514.6833122,2,512,84,1.99
1749003514.6833222,2,512,85,1.99
1749003514.683329,2,512,86,1.99
1749003514.68335,2,512,87,2.01
1749003514.68336,2,512,88,2.01
1749003514.683368,2,512,89,2.02
1749003514.68339,2,512,90,2.03
1749003514.683403,2,512,91,2.04
1749003514.68341,2,512,92,2.04
1749003514.683431,2,512,93,2.05
1749003514.683441,2,512,94,2.06
1749003514.683449,2,512,95,2.06
1749003514.6834712,2,512,96,2.08
1749003514.683481,2,512,97,2.08
1749003514.68349,2,512,98,2.09
1749003514.683498,2,512,99,2.09
1749003514.7067509,2,512,100,1.18
1749003514.706774,2,512,101,1.20
1749003514.725865,2,512,102,0.43
1749003514.725878,2,512,103,0.26
1749003514.750187,2,512,104,1.25
1749003514.75021,2,512,105,1.25
1749003514.768086,2,512,106,1.40
1749003514.7706509,2,512,107,1.10
1749003514.7923598,2,512,108,1.35
1749003514.792384,2,512,109,1.36
1749003514.815331,2,512,110,1.13
1749003514.815351,2,512,111,1.13
1749003514.8332531,2,512,112,1.30
1749003514.835839,2,512,113,1.03
1749003514.857536,2,512,114,1.27
1749003514.857569,2,512,115,1.28
1749003514.880651,2,512,116,1.17
1749003514.8807318,2,512,117,1.12
1749003514.900864,2,512,118,1.42
1749003514.900949,2,512,119,1.26
1749003514.921184,2,512,120,1.49
1749003514.9212549,2,512,121,1.47
1749003514.9430048,2,512,122,1.61
1749003514.94311,2,512,123,1.55
1749003514.96444,2,512,124,0.48
1749003514.964538,2,512,125,0.49
1749003514.9862971,2,512,126,0.99
1749003514.9864,2,512,127,0.97
1749003515.0092359,2,512,128,1.45
1749003515.0093,2,512,129,1.16
1749003515.027251,2,512,130,1.55
1749003515.029759,2,512,131,0.97
1749003515.0502279,2,512,132,1.50
1749003515.0503209,2,512,133,1.46
1749003515.0703528,2,512,134,0.39
1749003515.070459,2,512,135,0.42
1749003515.090774,2,512,136,0.67
1749003515.0909388,2,512,137,0.75
1749003515.113834,2,512,138,1.32
1749003515.113936,2,512,139,1.34
1749003515.131884,2,512,140,1.46
1749003515.134382,2,512,141,1.17
1749003515.154643,2,512,142,1.37
1749003515.154731,2,512,143,1.38
1749003515.179028,2,512,144,0.76
1749003515.179156,2,512,145,0.79
1749003515.195744,2,512,146,1.48
1749003515.200906,2,512,147,1.49
1749003515.216086,2,512,148,1.49
1749003515.221308,2,512,149,0.60
1749003515.23932,2,512,150,1.16
1749003515.243,2,512,151,1.58
1749003515.261009,2,512,152,1.53
1749003515.262285,2,512,153,0.31
1749003515.2816799,2,512,154,1.49
1749003515.282986,2,512,155,0.50
1749003515.3060951,2,512,156,1.37
