timestamp,flow_id,packet_size,sequence_number,delay_ms
1749003512.671409,1,1024,59,1.83
1749003512.6714199,1,1024,60,1.83
1749003512.671427,1,1024,61,1.83
1749003512.6714492,1,1024,62,1.85
1749003512.6714602,1,1024,63,1.86
1749003512.671467,1,1024,64,1.86
1749003512.67149,1,1024,65,1.87
1749003512.671499,1,1024,66,1.88
1749003512.671507,1,1024,67,1.88
1749003512.671515,1,1024,68,1.88
1749003512.671544,1,1024,69,1.91
1749003512.671554,1,1024,70,1.91
1749003512.671561,1,1024,71,1.91
1749003512.671583,1,1024,72,1.93
1749003512.671594,1,1024,73,1.93
1749003512.6716008,1,1024,74,1.93
1749003512.671623,1,1024,75,1.95
1749003512.671634,1,1024,76,1.95
1749003512.671641,1,1024,77,1.96
1749003512.671663,1,1024,78,1.97
1749003512.671674,1,1024,79,1.98
1749003512.671681,1,1024,80,1.98
1749003512.671703,1,1024,81,1.99
1749003512.671712,1,1024,82,2.00
1749003512.67172,1,1024,83,2.00
1749003512.6717281,1,1024,84,2.00
1749003512.671756,1,1024,85,2.02
1749003512.671766,1,1024,86,2.03
1749003512.671773,1,1024,87,2.03
1749003512.671795,1,1024,88,2.04
1749003512.6718059,1,1024,89,2.05
1749003512.671814,1,1024,90,2.05
1749003512.671836,1,1024,91,2.07
1749003512.671846,1,1024,92,2.07
1749003512.671854,1,1024,93,2.07
1749003512.671861,1,1024,94,2.08
1749003512.6718888,1,1024,95,2.10
1749003512.6718988,1,1024,96,2.10
1749003512.671906,1,1024,97,2.10
1749003512.671927,1,1024,98,2.12
1749003512.671936,1,1024,99,2.12
1749003512.695327,1,1024,100,1.40
1749003512.6953611,1,1024,101,1.39
1749003512.714439,1,1024,102,0.74
1749003512.7144809,1,1024,103,0.43
1749003512.739959,1,1024,104,1.27
1749003512.739972,1,1024,105,1.26
1749003512.7590778,1,1024,106,1.16
1749003512.760382,1,1024,107,1.45
1749003512.783232,1,1024,108,0.54
1749003512.783272,1,1024,109,0.54
1749003512.8035681,1,1024,110,0.52
1749003512.803585,1,1024,111,0.50
1749003512.829052,1,1024,112,1.38
1749003512.8290749,1,1024,113,1.38
1749003512.848143,1,1024,114,1.19
1749003512.848168,1,1024,115,0.27
1749003512.872472,1,1024,116,0.72
1749003512.87254,1,1024,117,0.64
1749003512.8902678,1,1024,118,1.57
1749003512.893947,1,1024,119,1.45
1749003512.910491,1,1024,120,1.63
1749003512.9142451,1,1024,121,0.73
1749003512.932134,1,1024,122,1.64
1749003512.9346392,1,1024,123,0.30
1749003512.954891,1,1024,124,1.50
1749003512.9549718,1,1024,125,0.36
1749003512.977901,1,1024,126,1.55
1749003512.978011,1,1024,127,1.46
1749003512.99702,1,1024,128,1.16
1749003512.998205,1,1024,129,1.44
1749003513.022381,1,1024,130,1.52
1749003513.022419,1,1024,131,1.50
1749003513.041367,1,1024,132,1.02
1749003513.0414379,1,1024,133,0.38
1749003513.061713,1,1024,134,0.50
1749003513.0617752,1,1024,135,0.43
1749003513.084694,1,1024,136,1.63
1749003513.084807,1,1024,137,1.61
1749003513.106383,1,1024,138,0.45
1749003513.106477,1,1024,139,0.47
1749003513.126838,1,1024,140,1.53
1749003513.126938,1,1024,141,0.71
1749003513.148246,1,1024,142,0.46
1749003513.148397,1,1024,143,0.48
1749003513.1725771,1,1024,144,1.70
1749003513.1728818,1,1024,145,1.85
1749003513.190298,1,1024,146,1.84
1749003513.192814,1,1024,147,1.11
1749003513.213349,1,1024,148,1.71
1749003513.2135072,1,1024,149,1.73
1749003513.234987,1,1024,150,0.61
1749003513.2350998,1,1024,151,0.57
1749003513.2564008,1,1024,152,0.63
1749003513.256507,1,1024,153,0.58
1749003513.278204,1,1024,154,0.85
1749003513.278528,1,1024,155,1.00
1749003513.298541,1,1024,156,1.63
1749003513.298676,1,1024,157,0.90
1749003513.3225758,1,1024,158,0.70
1749003513.3226728,1,1024,159,0.68
1749003513.341515,1,1024,160,1.53
1749003513.344021,1,1024,161,1.48
1749003513.365727,1,1024,162,1.26
1749003513.3658419,1,1024,163,1.29
1749003513.388719,1,1024,164,1.62
1749003513.3888361,1,1024,165,1.66
1749003513.410408,1,1024,166,1.45
1749003513.410528,1,1024,167,1.49
1749003513.433394,1,1024,168,1.62
1749003513.433532,1,1024,169,1.65
1749003513.453464,1,1024,170,1.54
1749003513.453577,1,1024,171,1.54
1749003513.473661,1,1024,172,1.56
1749003513.473762,1,1024,173,1.57
1749003513.497696,1,1024,174,0.62
1749003513.497823,1,1024,175,0.63
1749003513.515417,1,1024,176,1.60
1749003513.519116,1,1024,177,1.05
1749003513.5381792,1,1024,178,0.96
1749003513.539336,1,1024,179,1.03
1749003513.562376,1,1024,180,0.72
1749003513.56247,1,1024,181,0.67
1749003513.581333,1,1024,182,1.58
1749003513.5837371,1,1024,183,1.38
1749003513.602808,1,1024,184,1.61
1749003513.604005,1,1024,185,1.29
1749003513.626891,1,1024,186,1.48
1749003513.626985,1,1024,187,1.48
1749003513.646017,1,1024,188,1.21
1749003513.647371,1,1024,189,1.64
1749003513.6664739,1,1024,190,1.51
1749003513.666559,1,1024,191,0.55
1749003513.686861,1,1024,192,1.50
1749003513.6869519,1,1024,193,0.71
1749003513.7084138,1,1024,194,1.53
1749003513.708512,1,1024,195,1.52
1749003513.732251,1,1024,196,1.12
1749003513.732356,1,1024,197,1.14
1749003513.750032,1,1024,198,1.55
1749003513.7525902,1,1024,199,0.65
1749003513.771439,1,1024,200,1.59
