timestamp,flow_id,packet_size,sequence_number,delay_ms
1749003516.7009048,3,1024,0,0.37
1749003516.7009559,3,1024,1,0.38
1749003516.701074,3,1024,2,0.45
1749003516.7011049,3,1024,3,0.46
1749003516.701162,3,1024,4,0.51
1749003516.701183,3,1024,5,0.52
1749003516.701195,3,1024,6,0.52
1749003516.701216,3,1024,7,0.54
1749003516.701261,3,1024,8,0.57
1749003516.7012858,3,1024,9,0.59
1749003516.7013462,3,1024,10,0.65
1749003516.701466,3,1024,11,0.76
1749003516.701482,3,1024,12,0.77
1749003516.701503,3,1024,13,0.78
1749003516.7015522,3,1024,14,0.82
1749003516.701589,3,1024,15,0.86
1749003516.7016551,3,1024,16,0.92
1749003516.7016819,3,1024,17,0.94
1749003516.7017448,3,1024,18,0.99
1749003516.701757,3,1024,19,0.99
1749003516.701767,3,1024,20,1.00
1749003516.701838,3,1024,21,1.06
1749003516.7019122,3,1024,22,1.13
1749003516.7019289,3,1024,23,1.14
1749003516.701947,3,1024,24,1.15
1749003516.701976,3,1024,25,1.18
1749003516.702024,3,1024,26,1.22
1749003516.702067,3,1024,27,1.25
1749003516.7020988,3,1024,28,1.28
1749003516.7021189,3,1024,29,1.29
1749003516.7021298,3,1024,30,1.29
1749003516.7021399,3,1024,31,1.29
1749003516.7021708,3,1024,32,1.32
1749003516.702204,3,1024,33,1.34
1749003516.702219,3,1024,34,1.35
1749003516.702239,3,1024,35,1.36
1749003516.702288,3,1024,36,1.41
1749003516.702305,3,1024,37,1.42
1749003516.702315,3,1024,38,1.42
1749003516.7023401,3,1024,39,1.44
1749003516.702367,3,1024,40,1.43
1749003516.702389,3,1024,41,1.44
1749003516.702409,3,1024,42,1.43
1749003516.702427,3,1024,43,1.43
1749003516.7024388,3,1024,44,1.43
1749003516.702472,3,1024,45,1.46
1749003516.702504,3,1024,46,1.48
1749003516.702523,3,1024,47,1.49
1749003516.702534,3,1024,48,1.49
1749003516.702544,3,1024,49,1.50
1749003516.702553,3,1024,50,1.50
1749003516.702562,3,1024,51,1.50
1749003516.702594,3,1024,52,1.53
1749003516.702612,3,1024,53,1.54
1749003516.702624,3,1024,54,1.53
1749003516.702657,3,1024,55,1.53
1749003516.702676,3,1024,56,1.54
1749003516.70272,3,1024,57,1.57
1749003516.7027378,3,1024,58,1.58
1749003516.702803,3,1024,59,1.59
1749003516.702833,3,1024,60,1.60
1749003516.702844,3,1024,61,1.60
1749003516.702878,3,1024,62,1.62
1749003516.702889,3,1024,63,1.59
1749003516.702923,3,1024,64,1.60
1749003516.702941,3,1024,65,1.61
1749003516.702951,3,1024,66,1.62
1749003516.702961,3,1024,67,1.62
1749003516.70297,3,1024,68,1.60
1749003516.7029881,3,1024,69,1.61
1749003516.7030048,3,1024,70,1.62
1749003516.7030149,3,1024,71,1.62
1749003516.7030232,3,1024,72,1.62
1749003516.703049,3,1024,73,1.64
1749003516.703058,3,1024,74,1.64
1749003516.703068,3,1024,75,1.64
1749003516.703085,3,1024,76,1.65
1749003516.703095,3,1024,77,1.65
1749003516.703111,3,1024,78,1.67
1749003516.703129,3,1024,79,1.67
1749003516.70314,3,1024,80,1.68
1749003516.7031722,3,1024,81,1.65
1749003516.703187,3,1024,82,1.64
1749003516.7032,3,1024,83,1.63
1749003516.703229,3,1024,84,1.65
1749003516.703265,3,1024,85,1.66
1749003516.7032802,3,1024,86,1.67
1749003516.703294,3,1024,87,1.67
1749003516.7033129,3,1024,88,1.68
1749003516.7033322,3,1024,89,1.69
1749003516.703351,3,1024,90,1.70
1749003516.7034009,3,1024,91,1.72
1749003516.703414,3,1024,92,1.71
1749003516.703427,3,1024,93,1.72
1749003516.703451,3,1024,94,1.73
1749003516.703462,3,1024,95,1.73
1749003516.7034712,3,1024,96,1.69
1749003516.703487,3,1024,97,1.70
1749003516.703507,3,1024,98,1.71
1749003516.703548,3,1024,99,1.75
1749003516.70363,3,1024,100,1.76
1749003516.703648,3,1024,101,1.77
1749003516.703663,3,1024,102,1.78
1749003516.7036731,3,1024,103,1.78
1749003516.703681,3,1024,104,1.78
