timestamp,flow_id,packet_size,sequence_number,delay_ms
1749003495.3546429,3,1024,0,0.44
1749003495.354709,3,1024,1,0.45
1749003495.354759,3,1024,2,0.48
1749003495.354791,3,1024,3,0.50
1749003495.35487,3,1024,4,0.57
1749003495.354893,3,1024,5,0.58
1749003495.354906,3,1024,6,0.59
1749003495.354978,3,1024,7,0.65
1749003495.354997,3,1024,8,0.66
1749003495.3550432,3,1024,9,0.70
1749003495.355058,3,1024,10,0.71
1749003495.355145,3,1024,11,0.79
1749003495.3551831,3,1024,12,0.82
1749003495.355228,3,1024,13,0.85
1749003495.3552399,3,1024,14,0.86
1749003495.355309,3,1024,15,0.92
1749003495.355335,3,1024,16,0.94
1749003495.355371,3,1024,17,0.97
1749003495.355382,3,1024,18,0.97
1749003495.355392,3,1024,19,0.98
1749003495.355437,3,1024,20,1.01
1749003495.3554518,3,1024,21,1.02
1749003495.355505,3,1024,22,1.07
1749003495.355532,3,1024,23,1.09
1749003495.3555572,3,1024,24,1.11
1749003495.355573,3,1024,25,1.12
1749003495.355582,3,1024,26,1.12
1749003495.355593,3,1024,27,1.12
1749003495.355602,3,1024,28,1.12
1749003495.355615,3,1024,29,1.13
1749003495.3556612,3,1024,30,1.17
1749003495.355673,3,1024,31,1.17
1749003495.355723,3,1024,32,1.22
1749003495.3557591,3,1024,33,1.25
1749003495.3557708,3,1024,34,1.25
1749003495.3557818,3,1024,35,1.26
1749003495.3558662,3,1024,36,1.34
1749003495.3558881,3,1024,37,1.35
1749003495.355932,3,1024,38,1.39
1749003495.355978,3,1024,39,1.43
1749003495.355988,3,1024,40,1.43
1749003495.3560011,3,1024,41,1.44
1749003495.356009,3,1024,42,1.44
1749003495.356019,3,1024,43,1.44
1749003495.3560278,3,1024,44,1.45
1749003495.3560362,3,1024,45,1.45
1749003495.356056,3,1024,46,1.46
1749003495.356066,3,1024,47,1.47
1749003495.356077,3,1024,48,1.47
1749003495.3562188,3,1024,49,1.61
1749003495.356231,3,1024,50,1.61
1749003495.35625,3,1024,51,1.62
